"Heure";"null pour esxi-2.infra.vinc.stage";"null pour esxi-1.infra.vinc.stage";"null pour esxi-4.infra.vinc.stage";"null pour esxi-3.infra.vinc.stage"
"2024-03-15T09:30:00.000Z";112;;;45
"2024-03-15T10:00:00.000Z";47;;;48
"2024-03-15T10:30:00.000Z";7785;7191;;8598
"2024-03-15T11:00:00.000Z";641;1760;;641
"2024-03-15T11:30:00.000Z";7068;82590
"2024-03-15T12:00:00.000Z";99;2226;;87
"2024-03-15T12:30:00.000Z";1956;1498;2855;597
"2024-03-15T13:00:00.000Z";1568;1364;4871;767
"2024-03-15T13:30:00.000Z";17134;26305;33641;23689
"2024-03-15T14:00:00.000Z";14184;26891;23930;14488
"2024-03-15T14:30:00.000Z";51029;72182;30276;20296
"2024-03-15T15:00:00.000Z";;;4420;2091
"2024-03-18T08:30:00.000Z";7230;11454;10869;8905
"2024-03-18T09:00:00.000Z";20889;21213;20846;21475
"2024-03-18T09:30:00.000Z";23148;23233;23153;23595
"2024-03-18T10:00:00.000Z";82453;82378;82507;82798
"2024-03-18T10:30:00.000Z";60350;60290;60371;60686
"2024-03-18T11:00:00.000Z";142793;142435;142369;142839
"2024-03-18T11:30:00.000Z";73167;72953;72920;73811
"2024-03-18T12:00:00.000Z";85796;85844;85808;86160
"2024-03-18T12:30:00.000Z";195905;195703;196760;197556
"2024-03-18T13:00:00.000Z";361012;360502;363943;361069
"2024-03-18T13:30:00.000Z";649601;648041;658422;647969
"2024-03-18T14:00:00.000Z";1100595;1132381;1140820;1125937
"2024-03-18T14:30:00.000Z";1106874;665216;239225;1038961
"2024-03-18T15:00:00.000Z";467160;115499;167971;422565
"2024-03-18T15:30:00.000Z";47263;13646;18654;26827
"2024-03-18T16:00:00.000Z";;16885
"2024-03-19T08:00:00.000Z";94683;;90200;61183
"2024-03-19T08:30:00.000Z";14820;2147;7149;5124
"2024-03-19T09:00:00.000Z";1381;1115;891;1393
"2024-03-19T09:30:00.000Z";965;777;622;1193
