"Heure";"Latence la plus élevée pour esxi-2.infra.vinc.stage";"Utilisation pour esxi-2.infra.vinc.stage"
"2024-03-12T11:00:00.000Z";;
"2024-03-12T11:30:00.000Z";;
"2024-03-12T12:00:00.000Z";;
"2024-03-12T12:30:00.000Z";;
"2024-03-12T13:00:00.000Z";;
"2024-03-12T13:30:00.000Z";;
"2024-03-12T14:00:00.000Z";;
"2024-03-12T14:30:00.000Z";;
"2024-03-12T15:00:00.000Z";;
"2024-03-12T15:30:00.000Z";;
"2024-03-12T16:00:00.000Z";;
"2024-03-12T16:30:00.000Z";;
"2024-03-12T17:00:00.000Z";;
"2024-03-12T17:30:00.000Z";;
"2024-03-12T18:00:00.000Z";;
"2024-03-12T18:30:00.000Z";;
"2024-03-12T19:00:00.000Z";;
"2024-03-12T19:30:00.000Z";;
"2024-03-12T20:00:00.000Z";;
"2024-03-12T20:30:00.000Z";;
"2024-03-12T21:00:00.000Z";;
"2024-03-12T21:30:00.000Z";;
"2024-03-12T22:00:00.000Z";;
"2024-03-12T22:30:00.000Z";;
"2024-03-12T23:00:00.000Z";;
"2024-03-12T23:30:00.000Z";;
"2024-03-13T00:00:00.000Z";;
"2024-03-13T00:30:00.000Z";;
"2024-03-13T01:00:00.000Z";;
"2024-03-13T01:30:00.000Z";;
"2024-03-13T02:00:00.000Z";;
"2024-03-13T02:30:00.000Z";;
"2024-03-13T03:00:00.000Z";;
"2024-03-13T03:30:00.000Z";;
"2024-03-13T04:00:00.000Z";;
"2024-03-13T04:30:00.000Z";;
"2024-03-13T05:00:00.000Z";;
"2024-03-13T05:30:00.000Z";;
"2024-03-13T06:00:00.000Z";;
"2024-03-13T06:30:00.000Z";;
"2024-03-13T07:00:00.000Z";;
"2024-03-13T07:30:00.000Z";;
"2024-03-13T08:00:00.000Z";;
"2024-03-13T08:30:00.000Z";;
"2024-03-13T09:00:00.000Z";;
"2024-03-13T09:30:00.000Z";;
"2024-03-13T10:00:00.000Z";;
"2024-03-13T10:30:00.000Z";;
"2024-03-13T11:00:00.000Z";;
"2024-03-13T11:30:00.000Z";;
"2024-03-13T12:00:00.000Z";;
"2024-03-13T12:30:00.000Z";;
"2024-03-13T13:00:00.000Z";;
"2024-03-13T13:30:00.000Z";;
"2024-03-13T14:00:00.000Z";;
"2024-03-13T14:30:00.000Z";;
"2024-03-13T15:00:00.000Z";;
"2024-03-13T15:30:00.000Z";;
"2024-03-13T16:00:00.000Z";;
"2024-03-13T16:30:00.000Z";;
"2024-03-13T17:00:00.000Z";;
"2024-03-13T17:30:00.000Z";;
"2024-03-13T18:00:00.000Z";;
"2024-03-13T18:30:00.000Z";;
"2024-03-13T19:00:00.000Z";;
"2024-03-13T19:30:00.000Z";;
"2024-03-13T20:00:00.000Z";;
"2024-03-13T20:30:00.000Z";;
"2024-03-13T21:00:00.000Z";;
"2024-03-13T21:30:00.000Z";;
"2024-03-13T22:00:00.000Z";;
"2024-03-13T22:30:00.000Z";;
"2024-03-13T23:00:00.000Z";;
"2024-03-13T23:30:00.000Z";;
"2024-03-14T00:00:00.000Z";;
"2024-03-14T00:30:00.000Z";;
"2024-03-14T01:00:00.000Z";;
"2024-03-14T01:30:00.000Z";;
"2024-03-14T02:00:00.000Z";;
"2024-03-14T02:30:00.000Z";;
