"Heure";"null pour esxi-2.infra.vinc.stage";"null pour esxi-3.infra.vinc.stage";"null pour esxi-4.infra.vinc.stage";"null pour esxi-1.infra.vinc.stage"
"2024-03-15T09:30:00.000Z";201;184
"2024-03-15T10:00:00.000Z";198;195
"2024-03-15T10:30:00.000Z";634;598;;960
"2024-03-15T11:00:00.000Z";535;534;;983
"2024-03-15T11:30:00.000Z";509;;;1718
"2024-03-15T12:00:00.000Z";295;295;;505
"2024-03-15T12:30:00.000Z";647;1239;983;1073
"2024-03-15T13:00:00.000Z";1072;1647;1380;1916
"2024-03-15T13:30:00.000Z";1163;912;1986;2314
"2024-03-15T14:00:00.000Z";687;857;1334;2090
"2024-03-15T14:30:00.000Z";1130;1032;4592;1033
"2024-03-15T15:00:00.000Z";;1129;5149
"2024-03-18T08:30:00.000Z";690;1411;3673;1931
"2024-03-18T09:00:00.000Z";3908;590;1166;763
"2024-03-18T09:30:00.000Z";5214;589;1200;659
"2024-03-18T10:00:00.000Z";5922;716;1272;787
"2024-03-18T10:30:00.000Z";5770;989;1568;1062
"2024-03-18T11:00:00.000Z";6590;1343;1870;1412
"2024-03-18T11:30:00.000Z";8041;1153;1699;1270
"2024-03-18T12:00:00.000Z";9637;1537;2076;1792
"2024-03-18T12:30:00.000Z";7346;1742;2498;1822
"2024-03-18T13:00:00.000Z";8524;4195;5367;3046
"2024-03-18T13:30:00.000Z";11403;8616;6736;4080
"2024-03-18T14:00:00.000Z";14941;11841;9837;5543
"2024-03-18T14:30:00.000Z";11985;11430;3503;7235
"2024-03-18T15:00:00.000Z";7421;5873;2588;1995
"2024-03-18T15:30:00.000Z";2576;2351;1142;643
"2024-03-18T16:00:00.000Z";;;;1018
"2024-03-19T08:00:00.000Z";5660;2189;2086
"2024-03-19T08:30:00.000Z";2626;919;875;461
"2024-03-19T09:00:00.000Z";1035;412;461;427
"2024-03-19T09:30:00.000Z";919;389;437;389
"2024-03-19T10:00:00.000Z";1051;379;1146;401
